,A,C,D,E,F,G,H,I,K,L,M,N,P,Q,R,S,T,V,W,Y,X,B,U,Z
innerEndIO1,0.104441,0.0141024,0.00713454,0.00716364,0.0961528,0.0562089,0.00959053,0.100433,0.00966158,0.205966,0.0414329,0.0168898,0.0182519,0.00823595,0.0155126,0.0366433,0.0369284,0.105292,0.0397981,0.0701605,0.0,0.0,0.0,0.0
innerEndIO2,0.104441,0.0141024,0.00713454,0.00716364,0.0961528,0.0562089,0.00959053,0.100433,0.00966158,0.205966,0.0414329,0.0168898,0.0182519,0.00823595,0.0155126,0.0366433,0.0369284,0.105292,0.0397981,0.0701605,0.0,0.0,0.0,0.0
innerEndIO3,0.104441,0.0141024,0.00713454,0.00716364,0.0961528,0.0562089,0.00959053,0.100433,0.00966158,0.205966,0.0414329,0.0168898,0.0182519,0.00823595,0.0155126,0.0366433,0.0369284,0.105292,0.0397981,0.0701605,0.0,0.0,0.0,0.0
innerEndIO4,0.104441,0.0141024,0.00713454,0.00716364,0.0961528,0.0562089,0.00959053,0.100433,0.00966158,0.205966,0.0414329,0.0168898,0.0182519,0.00823595,0.0155126,0.0366433,0.0369284,0.105292,0.0397981,0.0701605,0.0,0.0,0.0,0.0
helixIOLengthDist,0.125718,0.0256954,0.00371686,0.00394872,0.0912202,0.0720512,0.00508179,0.132166,0.00204625,0.189386,0.0412358,0.00779492,0.0135996,0.00548422,0.00202563,0.0456952,0.0513129,0.146299,0.0159998,0.0195234,0.0,0.0,0.0,0.0
helixIO26,0.125718,0.0256954,0.00371686,0.00394872,0.0912202,0.0720512,0.00508179,0.132166,0.00204625,0.189386,0.0412358,0.00779492,0.0135996,0.00548422,0.00202563,0.0456952,0.0513129,0.146299,0.0159998,0.0195234,0.0,0.0,0.0,0.0
helixIO25,0.125718,0.0256954,0.00371686,0.00394872,0.0912202,0.0720512,0.00508179,0.132166,0.00204625,0.189386,0.0412358,0.00779492,0.0135996,0.00548422,0.00202563,0.0456952,0.0513129,0.146299,0.0159998,0.0195234,0.0,0.0,0.0,0.0
helixIO24,0.125718,0.0256954,0.00371686,0.00394872,0.0912202,0.0720512,0.00508179,0.132166,0.00204625,0.189386,0.0412358,0.00779492,0.0135996,0.00548422,0.00202563,0.0456952,0.0513129,0.146299,0.0159998,0.0195234,0.0,0.0,0.0,0.0
helixIO23,0.125718,0.0256954,0.00371686,0.00394872,0.0912202,0.0720512,0.00508179,0.132166,0.00204625,0.189386,0.0412358,0.00779492,0.0135996,0.00548422,0.00202563,0.0456952,0.0513129,0.146299,0.0159998,0.0195234,0.0,0.0,0.0,0.0
helixIO22,0.125718,0.0256954,0.00371686,0.00394872,0.0912202,0.0720512,0.00508179,0.132166,0.00204625,0.189386,0.0412358,0.00779492,0.0135996,0.00548422,0.00202563,0.0456952,0.0513129,0.146299,0.0159998,0.0195234,0.0,0.0,0.0,0.0
