,0
innerEndIO1,0.0
innerEndIO2,0.0
innerEndIO3,0.0
innerEndIO4,0.0
helixIOLengthDist,0.0
helixIO26,0.0
helixIO25,0.0
helixIO24,0.0
helixIO23,0.0
helixIO22,0.0
helixIO21,0.0
helixIO20,0.0
helixIO19,0.0
helixIO18,0.0
helixIO17,0.0
helixIO16,0.0
helixIO15,0.0
helixIO14,0.0
helixIO13,0.0
helixIO12,0.0
helixIO11,0.0
helixIO10,0.0
helixIO9,0.0
helixIO8,0.0
helixIO7,0.0
helixIO6,0.0
helixIO5,0.0
helixIO4,0.0
helixIO3,0.0
helixIO2,0.0
outerEndIO1,0.0
outerEndIO2,0.0
outerEndIO3,0.0
outerEndIO4,0.0
outerEndOI1,0.0
outerEndOI2,0.0
outerEndOI3,0.0
outerEndOI4,0.0
helixOILengthDist,0.0
helixOI26,0.0
helixOI25,0.0
helixOI24,0.0
helixOI23,0.0
helixOI22,0.0
helixOI21,0.0
helixOI20,0.0
helixOI19,0.0
helixOI18,0.0
helixOI17,0.0
helixOI16,0.0
helixOI15,0.0
helixOI14,0.0
helixOI13,0.0
helixOI12,0.0
helixOI11,0.0
helixOI10,0.0
helixOI9,0.0
helixOI8,0.0
helixOI7,0.0
helixOI6,0.0
helixOI5,0.0
helixOI4,0.0
helixOI3,0.0
helixOI2,0.0
innerEndOI1,0.0
innerEndOI2,0.0
innerEndOI3,0.0
innerEndOI4,0.0
inTube1,0.0723052
inTube2,0.0
inTube3,0.0
inTube4,0.0
inTube5,0.0
inTube6,0.0
inTube7,0.0
inTube8,0.0
inTube9,0.0
inTube10,0.0
inGlob1,0.177695
inTube11,0.0
inTube12,0.0
inTube13,0.0
inTube14,0.0
inTube15,0.0
inTube16,0.0
inTube17,0.0
inTube18,0.0
inTube19,0.0
inTube20,0.0
outTube1,0.0731047
outTube2,0.0
outTube3,0.0
outTube4,0.0
outTube5,0.0
outTube6,0.0
outTube7,0.0
outTube8,0.0
outTube9,0.0
outTube10,0.0
outGlob1,0.176895
outTube11,0.0
outTube12,0.0
outTube13,0.0
outTube14,0.0
outTube15,0.0
outTube16,0.0
outTube17,0.0
outTube18,0.0
outTube19,0.0
outTube20,0.0
outLTube1,0.0
outLTube2,0.0
outLTube3,0.0
outLTube4,0.0
outLTube5,0.0
outLTube6,0.0
outLTube7,0.0
outLTube8,0.0
outLTube9,0.0
outLTube10,0.0
outLGlob1,0.25
outLGlob2,0.0
outLGlob3,0.0
outLTube11,0.0
outLTube12,0.0
outLTube13,0.0
outLTube14,0.0
outLTube15,0.0
outLTube16,0.0
outLTube17,0.0
outLTube18,0.0
outLTube19,0.0
outLTube20,0.0
met1,0.25
n10,0.0
n9,0.0
n8,0.0
n7,0.0
n6,0.0
n5,0.0
n4,0.0
n3,0.0
n2,0.0
n1,0.0
hLengthDist,0.0
h20,0.0
h19,0.0
h18,0.0
h17,0.0
h16,0.0
h15,0.0
h14,0.0
h13,0.0
h12,0.0
h11,0.0
h10,0.0
h9,0.0
h8,0.0
h7,0.0
h6,0.0
h5,0.0
h4,0.0
h3,0.0
h2,0.0
cLen12,0.0
cLen11,0.0
cLen10,0.0
cLen9,0.0
cLen8,0.0
cLen7,0.0
cLen6,0.0
cLen5,0.0
cLen4,0.0
cLen3,0.0
cLen2,0.0
cLen1,0.0
c61,0.0
c51,0.0
c41,0.0
c31,0.0
c21,0.0
c11,0.0
cut1,0.0
mo21,0.0
mo31,0.0
mo41,0.0
mO21,0.0
mO31,0.0
mO41,0.0
